Código 2,Producto,PUBLICO TIENDA
B-SONYZ3,BATERIA SONY Z3 / Z3 DUAL,1690
B-SONYZ5P,BATERIA SONY Z5 PREMIUM E6853 / Z5 PREMIUM DUAL E6833,1690
B-TCL20E,BATERIA TCL 20E,1690
B-XIAN10,BATERIA XIAOMI BM52 MI NOTE 10 / 10 LITE / 10 PRO,1690
BX-BN57,BATERIA XIAOMI BN57 POCO X3 / POCO X3 PRO,1790
B-XIAM10T,BATERIA XIAOMI MI 10T BM53,1890
B-XIAM11L,BATERIA XIAOMI MI 11 LITE (BP42),1690
B-XIAMI8,BATERIA XIAOMI MI 8 / BM3E,1690
B-XIAMI8LITE,BATERIA XIAOMI MI 8 LITE / BM3J,1690
B-XIAM9,BATERIA XIAOMI MI 9 BM3L,1690
B-XIAMI9SE,BATERIA XIAOMI MI 9 SE / BM3M,1690
B-XIAMI9T,BATERIA XIAOMI MI 9T / BP41,1690
B-XIAMIA2,BATERIA XIAOMI MI A2 / MI 6X / BN36,1690
B-XIAMIA2L,BATERIA XIAOMI MI A2 LITE / REDMI 6 PRO / BN47,1690
B-XIAMA3,BATERIA XIAOMI MI A3 / BM4F,1690
B-XIAMIMAX3,BATERIA XIAOMI MI MAX 3 / BM51,1690
B-XIAMIMIX2,BATERIA XIAOMI MI MIX 2 / BM3B,1690
B-XIAN6P,BATERIA XIAOMI NOTE 6 PRO / BN48,1690
B-XIAPOCOF1,BATERIA XIAOMI POCOPHONE F1 / BM4E,1690
B-XIAPOCOX4,BATERIA XIAOMI POCOPHONE X4,1890
B-XIAR10,BATERIA XIAOMI REDMI 10 / REDMI NOTE 10 5G / BN5A (M2103K19G),1690
B-XIAR12C,BATERIA XIAOMI REDMI 12C (BN5K),1690
B-XIAR13C,BATERIA XIAOMI REDMI 13C,1790
B-XIAR4A,BATERIA XIAOMI REDMI 4A / BN30,1690
B-XIAR4X,BATERIA XIAOMI REDMI 4X / 3 / 3X / 3S / 3 PRO / REDMI NOTE 3 PRO BM47,1890
B-XIA4X,BATERIA XIAOMI REDMI 4X / BM47,1690
B-RE5P,BATERIA XIAOMI REDMI 5 PLUS,1490
B-XIAR5A,BATERIA XIAOMI REDMI 5A / BN34,1690
B-XIAR5AP,BATERIA XIAOMI REDMI 5A PRIME / BM47,1690
B-XIAR6,BATERIA XIAOMI REDMI 6 / BN37,1690
B-XIAR6A,BATERIA XIAOMI REDMI 6A / BN37,1690
B-XIAR7,BATERIA XIAOMI REDMI 7 (BN4A),1690
B-XIAR8A,BATERIA XIAOMI REDMI 8A / 8  /BN51 (BN54 -),1690
